birth_year,district,any_shot,shots_1,shots_2,shots_3,birth_count,coverage,age_group
2018,Thủ Đức,2382,2362,20,0,8554,0.2784662146364274,[0-1)
2018,Thủ Đức,5198,3693,1358,143,8554,0.607668926817863,all
2019,Thủ Đức,5327,5240,87,0,8805,0.6049971607041453,[0-1)
2019,Thủ Đức,8063,3014,4756,292,8805,0.9157296990346394,all
2020,Thủ Đức,5466,5299,167,0,7676,0.7120896300156332,[0-1)
2020,Thủ Đức,7034,1136,5735,163,7676,0.916362688900469,all
2021,Thủ Đức,6133,5995,138,0,9929,0.6176855675294591,[0-1)
2021,Thủ Đức,6562,4091,2460,10,9929,0.6608923355826367,all
2022,Thủ Đức,4,4,0,0,5017,7.972892166633447e-4,[0-1)
2022,Thủ Đức,4,4,0,0,5017,7.972892166633447e-4,all
2014,Tân Bình,169,168,1,0,3739,0.045199251136667555,[0-1)
2014,Tân Bình,1790,1539,222,27,3739,0.4787376303824552,all
2015,Tân Bình,1334,1326,8,0,7215,0.1848925848925849,[0-1)
2015,Tân Bình,4015,2967,864,169,7215,0.5564795564795565,all
2016,Tân Bình,1402,1397,5,0,6719,0.20866200327429676,[0-1)
2016,Tân Bình,3879,2716,980,172,6719,0.5773180532817384,all
2017,Tân Bình,1718,1709,9,0,6611,0.2598699137800635,[0-1)
2017,Tân Bình,4068,2679,1186,198,6611,0.6153380729087884,all
2018,Tân Bình,1353,1343,10,0,5630,0.24031971580817052,[0-1)
2018,Tân Bình,2995,2247,681,67,5630,0.5319715808170515,all
2019,Tân Bình,2958,2928,30,0,5299,0.5582185317984525,[0-1)
2019,Tân Bình,4791,1710,3031,50,5299,0.9041328552557086,all
2020,Tân Bình,3214,3129,85,0,4690,0.6852878464818764,[0-1)
2020,Tân Bình,4280,821,3439,20,4690,0.9125799573560768,all
2021,Tân Bình,2600,2549,51,0,4189,0.6206731916925281,[0-1)
2021,Tân Bình,2830,1493,1334,3,4189,0.6755788971114824,all
2014,Tân Phú,207,206,1,0,5131,0.04034301305788345,[0-1)
2014,Tân Phú,3087,2620,393,65,5131,0.6016371077762619,all
2015,Tân Phú,1501,1495,6,0,8672,0.1730857933579336,[0-1)
2015,Tân Phú,5104,3676,1162,231,8672,0.5885608856088561,all
2016,Tân Phú,1806,1796,10,0,8038,0.22468275690470266,[0-1)
2016,Tân Phú,5012,3454,1264,262,8038,0.6235381935804927,all
2017,Tân Phú,1912,1901,11,0,7805,0.24497117232543242,[0-1)
2017,Tân Phú,4936,3143,1455,314,7805,0.6324151185137732,all
2018,Tân Phú,1714,1707,7,0,6920,0.2476878612716763,[0-1)
2018,Tân Phú,4067,2975,989,102,6920,0.5877167630057804,all
2019,Tân Phú,3931,3899,32,0,6930,0.5672438672438672,[0-1)
2019,Tân Phú,6348,2377,3732,235,6930,0.9160173160173161,all
2020,Tân Phú,4087,3971,116,0,5957,0.6860835991270774,[0-1)
2020,Tân Phú,5562,1257,4166,135,5957,0.9336914554305858,all
2021,Tân Phú,3400,3350,50,0,5054,0.6727344677483181,[0-1)
2021,Tân Phú,3713,2291,1409,13,5054,0.7346656113969133,all
2022,Tân Phú,1,1,0,0,1980,5.05050505050505e-4,[0-1)
2022,Tân Phú,1,1,0,0,1980,5.05050505050505e-4,all
